"Название";"Отзыв";"Статус продажи";"Ссылка"
"Lamborghini Diablo ВОЗРОЖДЕНИЕ ЛЕГЕНДЫ";"СПАСИБО за Ваши комментарии!
Если лень читать, можно посмотреть—m.youtube.com/watch?v=QeJ_N_elZp0
26 июня 2019года-МАШИНА ДНЯ!..и до этого несколько раз…
СПАСИБО ЗА ПОДДЕРЖКУ!
Если почитать-поржать, то в www.drive2.ru/l/1214632/
Все ответы на вопросы в Бортовом Журнале!
Если не нашли-значит скоро будут!
С неадекватами в полемику не вступаю!
ГАДОСТИ УДАЛЯЮ!
21.10.2012
Всё!
Решил собрать суперкар!
А что-деталей-запчастей у меня полно, картон-пластилин куплю, опыта я здесь на сайте набрался-тут столько про это написано!
коротко об авто, который собираю:
Название(самое главное!- ДИАБЛО)
Рама-КАК рама.
Двигатель- V12 !
Двери-ламбо.
Крыша-НЕ сьёмная.
Цвет БУДЕТ ЧТО НАДО!
ЧТО бы не скучать зимой, по случаю, за недорого(за сколько не признаюсь), нами был куплен ЭТОТ разукомплектованный авто!
ИЗ плюсов-ровные документы, подвеска и маленький пробег!
ИЗ минусов-всё остальное ) — недостача деталей, а те, что есть-кривые), убитый, безобразно сделанный салон, с мотором есть вопросы, сцепление убито и тд, и тд и тд!";"-";"https://www.drive2.ru/r/lamborghini/diablo/107135/"
"Lamborghini LM-002 Черный дьявол!";"Редчайший экземпляр знаменитой Марки Ламборгини! Находится почти в идеальным состоянии! Это прямой конкурент американского Хаммера, а точнее hmmwv! Он родился как участник конкурса по замещению армейского джипа, для армии США. Но проиграв его, было бы странно если бы для армии США технику начали бы производить Итальянцы?!, было принято решение отбить бабки потраченные на разработку машины и по этому решили открыть производство гражданской версии под заказ! Всего произвели с 1984 по 1992 годы 328 машины! Машина вне времени! Равного нет ни чего! Просто полноценно его не с чем сравнивать! Устанавливалось два двигателя — до 1989 года ставили в основном двигатель от Каунтач 450 л.с. ( моя именно такая) с 6 синхронизированными карбюраторами и 550 сильные с двигателями от дьяболо !
Мою машинку пришлось оживлять так как она стояла без движения 7 лет! Но сей час он почти в идеале! Осталось довести всякие мелочи!";"-";"https://www.drive2.ru/r/lamborghini/lm_002/607595/"
"Lamborghini Gallardo 2004 года";"-";"ДА";"https://www.drive2.ru/r/lamborghini/gallardo/1615101/"
"Lamborghini Aventador ""Рыжая стерва""";"Большинство мальчишек в детстве играют в машинки, многим нравятся спортивные машинки, или как их называют ""гонки"". Так же большинство мечтает скорее стать большими и ездить на подобных автомобилях. Став взрослыми, очень не многие стараются реализовать свою мечту, затягивает рутина, различные более важные проблемы, а некоторые даже и не вспоминают о своей мечте… Но все мы пришли в этот мир что бы воплощать мечты в реальность, любая мечта должна трансформироваться в намерение, а оно в свою очередь реализовываться.
Машину искали долго, пока наконец, уже почти отчаявшись, нам не подвернулся абсолютно новый экземпляр в ""далекой"" Германии. Устроило практически все и мы его купили.
Почему именно Авентадор? Ранее мне удалось попробовать много разных ""гонок"", но душа обратила внимание именно на него. Такие машины ведь не выбирают разумом, это автомобиль именно для души.
Мечта осуществилась.";"-";"https://www.drive2.ru/r/lamborghini/aventador/1251655/"
"Бывшая — Lamborghini Gallardo ГОНКА";"гонка
безумная
бешеная
гонка
коробка E-gear
она не трогается — она прыгает вперед
проехав всего несколько сотен метров по парковке от одного эвакуатора до другого не могу не провести самое сильное впечатление от машины — это бык
куплена вечером 24 декабря 2014 г.";"-";"https://www.drive2.ru/r/lamborghini/gallardo/1109312/"
"Бывшая — Lamborghini Murcielago";"-ты не боишься на ней убиться?
-я?..боюсь?..я боюсь, что я мало боюсь…
Сбылась мечта идиота.
Как только увидел ее фото впервые, внутри все прокричало-вот оно! вот к чему надо стремиться в этой жизни! хочу!
Дизайн ее меня просто повалил, а уж заявленные кони в характеристиках и подавно.
Казалось бы -V12 за спиной, 580 лс, ручка!, двери вертикальные-ну что еще простому деревенскому человеку для счастья надо?
Говорят-бойтесь своих желаний, они могут исполниться!
…я забыл, что надо бояться…
поездив на НЕЙ, я понял, почему у нее бык на капоте, а у Феррари лошадь.
езда на феррари это скачки на дорогой породистой лошади, езда на мурселаге.это ты оседлал разьяренного быка у которого основная цель жизни убить тебя в первом же повороте.
и дело даже не в 580 заявленных лошадях (сказать честно я ожидал большей динамики и тяги на низах от целого v12),
начнем с того, что в машине, которая сравнительно незаметно в городе может разогнать вас до 300 км.ч нет тормозов.
не, ну они как бы номинально есть, есть даже педаль тормоза и сзади красиво загораются стопы, но производитель изначально не планировал, что этой, по его мнению ненужной опцией будут пользоваться.
2-3 довольно не активных торможения и они сдуваются, плюс постоянно деформируются торм диски.Выход есть, надо менять тормоза на более серьезные, но это прицепом влечет замену колес на больший радиус(а этот дизайн колес мне нравится больше, чем другие)
забавляет визит к дилеру, с любым вопросом люди потухают и стараются идти в отказ, чтоб зказать запчасть нужно принести свою и по ней уже будут пытаться(без всякой уверенности) привезти тебе новую.
Причем, если бмв или мерседес свои детали красиво оборачивают пленкой или даже выносят в коробочках с голограммой, то с ламборгини такие цацки не проходят, тебе торжественно вручат голый амортизатор двери с торчащим штоком прямо в руки, а в другую просто насыпят горсть пистонов, которые по их мнению скорее всего могут подойти к вашему аппарату.Предоставление всяких вин кодов тут не поможет, все машины собираются вручную, людьми, которые похоже собирают трактора на досуге.
Любой ремонт это целое событие, на заводе изначально не планировалось, что кто то вздумает ее ремонтировать, никто не понимает как что разбирается и собирается, в каждой машине весь крепеж и отверстия для него в разных местах.
Любой сервис, кто хоть единожды подписался помочь вам после этого начинает вас ненавидеть и второй раз с ним этот номер не пройдет.";"-";"https://www.drive2.ru/r/lamborghini/murcielago/1224955/"
"Бывшая — Lamborghini Gallardo";"Всегда мечтал о Ламбе. Всегда именно о Галларде. Выдался случай приобрести этот бэтмобиль и я не думая им воспользовался, так как когда речь заходит о подобных авто, думать особо не надо, тут одни эмоции!
У всех наверное есть машина, о которой можно только мечтать, которая нравится абсолютно всем что в ней есть, не смотря на разные недостатки, которая сразу завораживает при взгляде на нее и именно такой для меня всегда было Gallardo!
Кстати, смешно получилось, летом в 2006 году в свои 16 лет я впервые поехал в центр города (Прага) на метро с новой на тот момент мыльницей (IXUS 55) для того, чтобы сделать пару фоток именно экзотических автомобилей. В тот момент этим почти никто не занимался и я думал, будет круто создать чешский портал суперкаров с улиц (сейчас уже проданный мною CzechExotics.com). И именно в этот день после часового хождения по городу я случайно встретил его! Именно этот конкретный экземпляр! Я только вчера узнал об этом, просматривая свои старые фотки. (Фото в бортовике).
Что касается самой машины, постараюсь описать все, что я за этих пару дней смог прочувствовать. Многие владельцы ламборгини всегда утверждают, что это не авто на каждый день, я же, читая или слушаю подобную инфу, всегда думал про себя — блин, если б у меня была ламба, я бы в ней даже спал, ездил бы и зимой и летом и вообще, зачем другие авто? Теперь я сам всем кто спрашивает говорю — эта машина исключительно выходного дня. Больше всего по концепции она мне очень сильно напоминает CTR 8G, чувства схожие, все такое космическое, низкие и длинные окна, огромная лобовуха, не удобно садиться и вылезать, жестко везде и всегда, кроме идеальных (таких нет в Праге почти) дорог, постоянно надо переключать скорости, думать о езде, думать, как бы не зацепить бордюр, влезу ли я сюда, что за дыра, как бы объехать люк… Короче чувства очень приближенные. В ламбе за спиной постоянно гудит мотор. И качество сборки определённых вечей хуже :) Например вещи в багажнике влажные (есть капли даже) если ездить в дождь на автобане, все дребезжит в салоне на мостовой, руль очень тугой и вообще ламба не любит плавных движении, издает не понятные звуки при разворотах, я конечно знаю, что это все данный экземпляр.";"-";"https://www.drive2.ru/r/lamborghini/gallardo/704527/"
"Lamborghini Murcielago Напарник черного Дьявола";"-";"ДА";"https://www.drive2.ru/r/lamborghini/murcielago/610572/"
"Lamborghini Hurac?n GoshaTurboTech Twinturbo";"Всем привет! Позже расскажу подробнее об авто. Проект полностью разработан и построен в РФ. В ""Урагане"" две турбины Precisionturbo. Победитель Unlim500+ 2016.";"-";"https://www.drive2.ru/r/lamborghini/huracan/1691561/"
"Бывшая — Lamborghini Hurac?n Желтый Ураган";"Желтый Ураган. Так как по работе Я много путешествую, вот и пол года предстоит провести в дороге между Вегасом и Нью Йорком. Так что Я запарковал получше свой i8 в Нью Йорке и взял на пол года Huracan в Вегасе. Я постараюсь сделать пару обзоров и скинуть тонну фоток.";"-";"https://www.drive2.ru/r/lamborghini/huracan/467769081169182831/"
"Бывшая — Lamborghini Diablo Raceport Тачка с плаката";"Всем очередной раз привет!
Сегодня порадуем Вас новым автомобилем из нашей коллекции. На самом деле этот Диабло у нас уже почти год, но все как то не получалось его разместить на драйве.
Смысл описывать его технические характеристики тут нет, т.к. ими сейчас уже никого не удивить, да и они в общем доступе в интернете. Тут дело не в динамике автомобиля и не в его ходовых качествах. Дело в шарме и в мечте. И мечты как говорится иногда сбываются. Я думаю у большинства, особенно в девяностые года висел плакат с этой моделью на стене.
Автомобиль 1995 года выпуска, приобретен в 2014. Состояние этого экземпляра на 5-. Как и на любом суперкаре с не большим даже пробегом мы столкнулись с идентичными проблемами. (Тут описание проделанное нами по реставрации другого Diablo ( www.raceport.ru/our-proje…amborghini-diablo-vt.html )) После полной дефектовки автомобиля мы получили стандартный набор высохших резинок, немного сопливых прокладок и прочие мелочи. В межсезонье 2015 года компания Рейспорт их устранит и автомобиль примет вновь безупречный вид. Мы постараемся весь процесс обнародовать на страницах этого портала. Следите за обновлениями.";"-";"https://www.drive2.ru/r/lamborghini/diablo/1177970/"
"Lamborghini Murcielago V12";"По поводу где я взял столько денег, и тому подобное не писать! ездея на других машинах, прошу это принять во внимание и начинать прочтении с этого предложения!Итак вот он долгожданный суперкар, все те кто так его ожидал увидеть на этом сайте .Ламборгини как ламборгини, да дорогая, да красивая, да жрет много, да валит!на данный момент она была давно, просто не выставляли на общее обозрение, для тех кто чем то не доволен, свои эмоции прошу оставить при себе!";"-";"https://www.drive2.ru/r/lamborghini/murcielago/609414/"
"Lamborghini Aventador Зеленый Монстр";"На замену желтого Huracan пришел зеленый Aventador. Задают вопросс, зачем у меня так много машин, отвечаю, так как я работаю в разных городах, в каждом мне нужна машина, и что может быть лучше спортивной Lamborhgini на западном побережье Америки.
Подписывайтесь, и я переодически буду выставлять наикрутейшие фото отчеты, отснято уже пару видео обзоров, потихоньку как будет время буду монтировать и выставлять.
Эту машину взял в лизинг на год с опцией покупки после окончания лиза, хочется конечно но зная что я на ней буду ехать не так часто заставляет подумать.
Если есть какие нибудь предложения снять что то интересное или подробное про машину, пишите в комментах.
Все фотографии видео сделаны мной, и могут использоваться только с моего разрешения.";"-";"https://www.drive2.ru/r/lamborghini/aventador/511990339326705972/"
"Lamborghini Hurac?n Конкурент АвтоВАЗа";"Машина ураган! Пока пробежала 400 километров, имоции зашкаливают!
В качестве силового агрегата для Lamborghini Huracan служит доработанный «Галлардовский» двигатель V10 5.2 л, отвечающий нормам экологичности Евро-6. Предусмотрено три режима передвижения, каждый из которых меняет настройки шасси, подвески и работы двигателя. Ураганный крутящий момент в 560 Нм на все 4 колеса грамотно распределяет 7-ступенчатый «робот» с двойным сцеплением. Карбон-керамические тормоза обеспечат идеальную согласованность с водителем и продемонстрируют отменную работу.";"-";"https://www.drive2.ru/r/lamborghini/huracan/531072638504665451/"
"Lamborghini Gallardo для Нордшляйфе";"Выбор пал ) В нашем полку прибыло ) Взяли Lamborghini Gallardo для туристена и трек дней Нордшляйфе ) Валит как надо — быстро и комфортно.
Своеобразный спорткар. Можно поспорить с коробкой в автоматическом режиме (один хрен в ручном едем) и полным приводом, но на удовольствия от вождения это не влияет. Про сцепление знаю ))))) Так что не пинать
2007 год, всего 8000 пробег (целка). 520 сил. Цвет — тёмно-синий. Корчевать ничего не будем. Пусть будет сток. Единственное – поменяем тормозную жижу, а так же поставим другие шины (ну диски там ещё поменяем на более простые. А то эти что то слишком многочастичные ). Тачка постоянно на ринге. Кто хочет порулить – айда в гости.
Если есть знатоки, которые знают интересные мелочи – буду рад выслушать.";"-";"https://www.drive2.ru/r/lamborghini/gallardo/602796/"
"Lamborghini Gallardo GT3 FLII Modell 2014";"Автомобиль куплен для участия новой российской гоночной команды в серии International GT Open.
В блоге этой машины будут новости, фото и видео о самой машине, о ее участии в гонках серии, информация из боксов и многое, многое другое.
Следите за апдейтами, коллеги!";"-";"https://www.drive2.ru/r/lamborghini/gallardo/1215045/"
"Бывшая — Lamborghini Hurac?n Super Trofeo EVO NEFIS";"Суперкар Lamborghini Huracan Super Trofeo EVO на котором наш первый пилот Тимур Богуславский из Казани, будет участвовать в шестиэтапном кольцевом турнире Lamborghini Super Trofeo Europe 2018, в составе команды NEFIS by Target Racing.
Двигатель V10 объёмом 5.2 л, бензиновый, мощностью 620 л.с., момент 570 Нм при 6500 об/мин.
Секвентальная 6-ступенчатая коробка передач. Задний привод. Масса 1270 кг вместе с топливом. Разгон 0-100 км/ч около 3 сек. Максимальная скорость без ограничителя около 320 км/ч.
Бортовик машины будет активно пополняться, подписывайтесь, задавайте вопросы, и рады знакомству!";"-";"https://www.drive2.ru/r/lamborghini/huracan/500294559264145718/"
"Lamborghini Countach XiCARS Lambusso";"В 2008 году я начал делать свой проект Lambusso. Автомобиль был построен в 2012 году и в 2013 впервые продемонстрирован на выставке Автоэкзотика 2013, где занял два первых места — как лучший ""Кастом"" проект и лучшая реплика. Я продолжаю работать над своей машиной.
Сайт проекта: www.xicars.ru
YouTube канал: www.youtube.com/xicars";"-";"https://www.drive2.ru/r/lamborghini/countach/507184923757511663/"
"Бывшая — Lamborghini Gallardo LP5xx";"прикольная такая маленькая машинка.
— едет в стоке так себе.
— звук прикольный.
— внешность тоже ничего так.
— салон красивый.
— шумоизоляции никакой.
— расход вменяемый.
— медленнее порша.
— обзорность не очень.
— музыка так себе.
— рулится и поворачивает круто.
— жестче в езде чем порш.
а в остальном нормально. поменял на порш и еще не пойму стоило ли;)";"-";"https://www.drive2.ru/r/lamborghini/gallardo/444440/"
"Бывшая — Lamborghini Countach";"Да и этот авто был реально в моей собственности! Представьте, молодого подцанчика на таком зверье)) Но каждый день на нем ездить не реально, тем более по большому городу типа Питера. После небольшого промежутка времени я обменял этот авто на более годного для повседневной езды авто, но до сих пор воспоминания не дают мне покоя! Эта тачка просто как магнит для всего живого а особенно для женского пола))))";"-";"https://www.drive2.ru/r/lamborghini/countach/473150640831332996/"
"Lamborghini Aventador Lamborghini replica";"Собираю реплику Ламборгини венено модель изготавливается на ЧПУ станке из пенопласта потом из стекловолокна, все будет собираться на раме с мотором пока ещё не решил";"-";"https://www.drive2.ru/r/lamborghini/aventador/526312577790116438/"
"Lamborghini Urus Ниндзяго";"Ждал год! Дождался! Пришла красава в августе! Первые 1,5 т. км. ездил как лошара, потом забил на обкатку и понеслась… Машина прикольная, шустрая, в спорт режиме ~ дикая, звук прорывается только на кикдаунах или в спорт режиме. Дорогу держит идеально, в поворотах — просто песня, аэродинамика — выше всяких похвал. Забронировал сразу капот, фары, передний бампер и расширители арок. После 63 Amg в комфортом режиме особой разницы в поведении машины не нашёл, но спорт режим — это бомба… Единственно что напрягает, это передняя передача — правый лепесток на руле, а когда паркуешься — левый\правый не сразу оределяешь… И, о чудо, Пирелли по спец заказу, сделали для Уруса зимние шипы… Хоть и на 21-х дисках. Завтра еду переобуваться. Ё?";"-";"https://www.drive2.ru/r/lamborghini/urus/544236541468213635/"
