"Название";"Отзыв";"Статус продажи";"Ссылка"
"Lamborghini Urus ReallyIntence";"Яркие эмоции доминируют над чехардой событий и ежедневной рутиной. Опять же, мучительный выбор между топом SUV (аббревиатуры) и сомнения х6м или Urus.
Разочаруюсь в Ауди, может шильдик вдохновит на эмоции, не понравиться всё «переобуюсь». Ну, а в данное время, какие новости будут, пишу/читаю.";"-";"https://www.drive2.ru/r/lamborghini/urus/556436722490017009/"
"Lamborghini Hurac?n";"Прикольная машинка;)
Куда приятнее чем Gallardo. Коробка работает просто великолепно. не хуже чем на порше. залазить-вылазить так же не удобно как и в порше и ламбе предыдущей. в общем и целом тачка отличная. но на каждый день все равно остается ГТР;)";"-";"https://www.drive2.ru/r/lamborghini/huracan/528905501086318683/"
"Lamborghini Murcielago";"Сказка из сказки) Чудо из чудес) Одного звука достаточно, чтобы любить бесконечно…
Рамная конструкция переживет любой карбоновый монокок…";"-";"https://www.drive2.ru/r/lamborghini/murcielago/539972360497791534/"
"Lamborghini Gallardo Replica";"Replica Lamborghini gallardo.
Возможный донор — subaru impreza 1 поколения. Полный привод, если удача улыбается-двигатель 2.5 л. Так как живу в Украине, донор будеть (євробляхой), номер кузова оставить постараюсь, но если что милиция вряд ли остановит такую машину для проверки документов:)";"-";"https://www.drive2.ru/r/lamborghini/gallardo/520696547273343333/"
"Lamborghini Gallardo";"По традиции фирмы, название автомобиля связано с быками: Gallardo (исп. храбрый, мужественный) — одна из известных пород боевых быков.
Считается, что порода боевых быков Gallardo названа так в честь испанца Франциско Гайярдо — он со своими братьями вывел её в XVIII веке. Быки Gallardo славились своей красотой, физической силой, агрессивностью и неутомимостью в бою, а также чёрной либо серой мастью.
Дата покупки 29/08/15";"-";"https://www.drive2.ru/r/lamborghini/gallardo/1356894/"
"Бывшая — Lamborghini Gallardo ""Желток""";"Кто из нас не мечтал в детстве-юношестве о такой машине, пусть первый бросит в меня камень!))) Поэтому, когда появились более-менее свободные средства и возможность, чуть ли не сразу стал мониторить рынки РФ, с целью осуществления мечты детства. На тот момент предложений было довольно немного (либо состояние, как будто на ней Леман 24 пытались выиграть, либо ценник, который отодвигал меня от мечты еще на пару лет))) нашел этот экземпляр во Владивостоке, куда ее предыдущий хозяин пригнал из Японии. Его таксомоторный парк внушал зависть, уважение и восхищение. Помимо этой красавицы в нем находилось еще несколько суперкаров и просто дорогих и красивых автомобилей, поэтому в его слова о том, что за автомобилем следят и часто не эксплуатируют поверил сразу (грех рысачить на одном Gallardo, когда у тебя такой выбор). Путем долгих переговоров и обсуждения нюансов, я наконец стал обладателем сего чуда инженерной и дизайнерской мысли. Не буду вдаваться в подробности сей сделки (когда продавец находится на одном конце страны, а покупатель в другом), но через несколько дней мы воссоединились с моей мечтой в другом Дальневосточном городе, с целью загрузки ее на поезд и дальнейшей транспортировку в Москву.
Естественно при первой ""живой"" встречи еле мог унять дрожь в коленях!)) Вот ОНА! Блестит на солнце, 500 лошадей прямо рвутся из-под капота (т. е. багажника) и просто притягивает взгляды проходящих мимо, не оставляя равнодушным абсолютно никого. Первый пуск двигателя… Это что-то! Салон сразу заливает раскатистый рык V10, пуская по коже количество мурашек равное каждому потраченному на нее рублю)))
Первые впечатления от внешнего вида сменились на нечто необъяснимое… С одной стороны: ощущать себя за рулем такого авто и чувствовать на себе зависливые взгляды, с другой: тупо проблема тронуться))) хоть и автомат, но это оказалось, первые несколько раз, довольно проблематично, и некогда зависливые взгляды прохожих, сменялись на такие усмешки.
После пары-тройки часов покатушек был обнаружен ряд проблем. Первое: судя по всему, генератор или совсем не работал, или доживал свое, второе: дерганья при трогании никак не хотели исчезать, даже с повышением уровня моего мастерства)))
Чтобы не доводить до греха, учитывая отсутствие грамотных специалистов в регионе дислокации, было принято решение не затягивать с ее транспортировкой в Златоглавую.
Прошло еще несколько томительных недель в ожидании очередной встречи, которые были потрачены на поиски квалифицированного ремонта и запчастей на ТО.
По прибытии ""желтка"" в Столицу нашей Родины, он сразу был отослан в чуть ли не единственный в Москве квалифицированный сервис, где был вынесен приговор: под замену сцепление- причину неуверенного трогания (но это был, в принципе, ожидаемый ремонт, т. к. на этих авто замену сцепления производят раз в 15 000 км, о чем и был предупрежден предыдущих владельцем, и на что заранее был скинут ценник), также на замену генератор, ну и профилактика: свечи, масло в двигателе и коробке, а так же прочие расходники.
Я бы мог с восторгом описать каждый день эксплуатации сего произведения искусства, но не буду отнимать у вас время, думаю и так понимаете и догадываетесь, что такое просыпаться летним солнечным деньком и быстро, почистив зубы и закинув в себя бутерброды, мчаться на улицу, чтобы вновь оказаться за ЕЁ рулем))) замечу только, что остальной период эксплуатации никаких хлопот, кроме заездов на заправку, она мне не доставила.
Но лето пролетело, вдоволь насладившись Мечтой, решил, что деньгам пора работать… Буду зарабатывать и копить на Lamborghini Aventador)))
Друзья, исполняйте свои мечты, балуйте себя и ни в чем себе не отказывайте, живем один раз всего!)))
Удачи на дорогах!";"-";"https://www.drive2.ru/r/lamborghini/gallardo/274321/"
"Бывшая — Lamborghini Gallardo Галя";"Ну, с Галиной у нас случилась любовь с первого взгляда…Хоть мы и не долго вместе, нас связывают очень теплые чувства!)
Объективно, это ауди Р8…Но визуально ауди до красоты Галины далеко.Внутри очень здержанный автомобил даже без кнопок на руле, музыку щелкать не удобно, звук хуже чем у бмв, но терпимо. Салон как у ауди 1 в 1)))
Но понтов от машины хоть отбавляй) все перве места у входа ресторанов и на парковках, все джигиты бегут встречать в надежде на чай.Мальчики на бентли и на порше гоятся в надежде заполучить телефон…А Гаишники просто теряют фурашки когда мимо проносится Галя)))Она сводит людей с ума)))
Клиренс как ни странно вполне вменяемый даже на бордюрах можно парковаться, А звук выхлоп будоражит рассудок своей благородностью)
Машина едет 340…Очень динамична, хорошо тормозит и рулится!Крутящий момент очень радует, хоть я и не читала сколько его там но видимо около 500 Н м";"-";"https://www.drive2.ru/r/lamborghini/gallardo/4062246863888293783/"
"Lamborghini Murcielago LP640";"Год производства — 2008
LP 640
Пробег 17 000 км.
Год покупки — 2014
Объем двигателя 6,5 л.
Мощность 640 л.с.
Коробка передач — E-Gear (роботизированная)";"-";"https://www.drive2.ru/r/lamborghini/murcielago/917075/"
"Бывшая — Lamborghini Gallardo";"Когда я увидел Gallardo я начал мечтать о ней, И когда я прехал в Manhattan NY, решил заехать к дилеру ""Manhattan Motor Cars"" спросил про тест драйв, прокатился, , , , , , решил купить. Супер! Не пожалел что купил, отличный автомобиль. Я думаю самый удобный из всех Lamborghini (если так можно это назвать), В Lamborghini тесно, жестко, но очень приятно. Звук V10 целиндров при 8000 об/мин, то что надо! Полный привод позволяет набрать 100км/ч за 4,1 сек. без дыма и писка колёс, максимальная скорость больее 300км/ч. Коробка передачь ""Е-Gear"" сделана отлично, в спорт режиме переключает, быстрее чем это можно сделать ручной 6-speed.
На этих машинах не легко ехать по городу, где ямы, тесные парковки и прочее, но вот по highway например
""Garden state Parkway"" где-то между Manhattan и Atlantic City,
лучше не бывает! ( ну может только на Mclaren SLR ).";"-";"https://www.drive2.ru/r/lamborghini/gallardo/4053239664633500320/"
"Lamborghini LM-002 Заколдованная ""Буханка""";"Рассказывать то и нечего. Трудный автомобиль. Передвигаться на нем как на буханке. Ходы рычага коробки длинные, сцепление тяжелое, места за рулем мало, бензин воняет… и так далее. Но наружа действительно брутальна. Поэтому я и назвал его заколдованная «БУХАНКА».
В каком-то из антирейтингов был впереди в номинации ""самый не практичный автомобиль в истории"".
Решил его выложить благодаря Гражданину Xander1 который с любовью и трепетом поведал историю машины и провел инвентаризацию наследия в России.
www.drive2.ru/b/1348789/
Машину восстанавливал по мере сил. В частности серьезно занимались мотором, выхлопом и т.д. Про это подробнее в блогах.
Регулировка двигла — ад. Синхронизация 6-ти карбюраторов (по одному на пару цилиндров).
Ну и привет обладателям аналогичных авто здесь на драйве. С одним (то же черная) Мы знакомы лично. Привет! Ну что, как нибудь уделаем Москву суровым рыком? Погоняем мерсюков? )))
Старался не колхозить и сохранить для истории как есть. Кое чего подходит от отечественных авто.";"-";"https://www.drive2.ru/r/lamborghini/lm_002/1541976/"
"Lamborghini Gallardo";"Машина для работы) для понимающих людей. Для избежания глупых вопросов от разных недоумков отвечу сразу: да, мне дают в ней посидеть на время гонки и тестов))))";"-";"https://www.drive2.ru/r/lamborghini/gallardo/1149395/"
"Lamborghini Diablo GT";"Очень редкий суперкар из нашей коллекции Classic — Lamborghini Diablo GT. На момент своего появления в 1999 году Diablo GT стал самым быстрым серийным автомобилем (575 л.с. и 630 Нм).Серия была ограничена всего-лишь 80 экземплярами. Этот авто мы нашли на просторах России ! Пробег всего 6500 км, состояние идеальное… Любимая машина предыдущего владельца, но в связи с качелями в экономике России решил продать этот уникальный авто… Мы так же отправили её в TopCar Spain, где вокруг неё водят хороводы японцы… Данный авто является культовым у якудза в Японии)";"-";"https://www.drive2.ru/r/lamborghini/diablo/1302905/"
"Lamborghini Gallardo";"Данный автомобиль представлен на сайте потому, что продается. Автомобиль в отличном состоянии(состояние нового), пробег — 6 тыс. км. СУПЕР ЦЕНА.
Машина без дефектов (сколов царапин вмятин).
Передняя ось поднимается на 16 см, но при скорости больше 50, автоматиески выравнивается. Машина супер, прекрасно держит дорогу, устойчивая и вообще вне конкуренции. 1авто в Украине!";"-";"https://www.drive2.ru/r/lamborghini/gallardo/288230376151866400/"
"Lamborghini Diablo Roadster VT";"Все уже знают это авто на этом сайте! Познакомился я с ней много лет назад, когда её владелец был один из наших уважаемых клиентов! Когда она попала к нам в руки у неё был перелопаченный SV ART салон в красно/чёрно/белом оттенке. Нашему клиенту это не понравилось и он поставил задачу полностью переделать салон с изменением центральной консоли… Делали салон больше года не из за сложности работы, а из за занятости владельца и не реальности согласования конечного результата…Так же нами было выведено лакокрасочное покрытие в состояние новой машины. Но то что получилось устроило всех…
Потом я потерял из виду эту машину на несколько лет… Как выяснилось она была продана совладельцу www.raceport.ru
Случайно узнали о том, что машина выставлена на продажу и было принято решение о её покупке. С ребятами из Raceport мы согласовали список деталей по машине подлежащих замене ( стояла оч долго и много чего требовало замены). Часть деталей уже было в наличие, а часть были экстренно заказаны и привезены из Германии. По факту имеем машину в идеальном техническом состоянии)";"-";"https://www.drive2.ru/r/lamborghini/diablo/1557340/"
"Lamborghini Murcielago";"Lamborghini Roadster, в таком цвете и комплектации всего 5 штук в мире, я смог себе ухватить одну. Перво наперво установил диски Hercules в хроме. Такие выпускались только для шейхов арабских стран. В своей собственной тюнинг компании мы не раз уже занимались модернизацией Lamborghini. В связи с этим обзавелся выхлопом GC-exhaust со звуком больше похожим на звук формулы 1, не смотря на то что с момента покупки как следует на машине поездить не удалось, уже серьезно задумываюсь о повторении судьбы желтой Ламборгини premier4509, установкой Twin Turbo. Но пока перепрограммировал блок управления, и получил не лишние 33л.с. Главной гордостью могу назвать решение основной проблемы любого мурчи — сцепление. Решением стало изготовленный на заказ маховик и два органических диска сцепления, получившееся сцепление держит до 1000л.с., а педаль нажимается минимум на 1/4 мягче. На очереди салон, обвес и рестайлинг в LP640. В принципе и в целом могу сказать что машина даже не кабриолет, это родстер. А это означает, что он еще более требовательный к определенному моменту, нежели чем мотоцикл. Складная крыша, которая стоит как новый Chevrolet Lacetti в макс. комплектации, это кусок брезентового гов#@ с кучей металлических труб внутри, все это требует порядка получаса для установки, к этому моменту даже грибной дождик становится сильной стихией. Обычному человеку, это все покажется одними сплошными минусами, потому оценить Murcielago Roadster способен только настоящий эстет супер-каров. Теперь вместо запаха тухлых яиц, при попытке ускорения буксуют все 4 колеса и машина действительно едет 3.5 до 100км/ч.";"-";"https://www.drive2.ru/r/lamborghini/murcielago/255089/"
"Lamborghini LM-002";"Машину купил в Питере.
Эта машина уже обсуждалась на форуме предыдущим владельцем.
Выпуск (по базе данных) 1990 г. Первый владелец в США. Далее экспорт в Бельгию. В 1994 г. Когда был ввезен в Россию не понятно. Судя по техническому состоянию — давно.
Пробег 53 т.км. Возможно скручен. Пока не диагностировали автомобиль, поэтому о реальности такого пробега можно только гадать.
Двигатель впрысковый от DIABLO. Все основные агрегаты в рабочем состоянии. Подключение полного привода под вопросом т.к. ключ для включения муфт утерян.
Интерьер когда-то был шикарен (по меркам того времени). Комбинированная, бордовая с белым кожа, черные канты, светлое дерево, вышивки логотипов на многих элементах. Музыкальная аппаратура Макинтош.";"-";"https://www.drive2.ru/r/lamborghini/lm_002/917054/"
"Lamborghini Hurac?n Мечта идиота!!!";"Ну что! Наконец, спустя тыщу лет, я все таки решился взять этот Ярыыыыыый автомобиль, я незнаю что про него можно рассказать, она просто мечта, она красавица… звук бомба… полный привод супер, после заднего не в сравнении вообще… писать нету смысла поэмы всякие, нужно просто Ее видеть вживую и чувствовать …";"-";"https://www.drive2.ru/r/lamborghini/huracan/461505163425743111/"
"Lamborghini Diablo";"В детстве и юношестве идолами моего поколения были Сандра, Сабрина, Lamborghini Diablo и Ferrari Testeterossa. Все это ""добро"" было изображено на плакатах и постерах, которые висели у кого над кроватью, у кого в ванной)))) Прошло некоторое время, Сабрина с Сандрой постарели и перестали быть желанными, а интерес к перечисленным авто почему-то не угас.
По воле случая приобрел икону 90-х, Ламбу Diablo 1992 г.в. с моториной 5,7 л, 5-ст механика, задний привод, без всяческой электроники по тормозам и антибуксам.
Ссылаясь на перечисленные выше факторы и цену состояние авто меня мало интересовало. Был готов на длительную и затратную работу по восстановлению автораритета.
К удивлению, при осмотре машины сделал вывод о её хорошем состоянии и полной готовности к драйву. Предыдущий владелец оказался фанатом по восстановлении авто и привел в работоспособное состояние в оригинале, после чего потерял интерес и решил её продать.
Сразу в день покупки кататься на ней не решился из-за трясущихся рук и легкого головокружения от обладания легендой мирового автопрома, да и путь из гаража в гараж показал своенравность авто, которое разгоняется на 1-й передаче дло 100 км/ч, вторая 150, третья 200, четвертая 250 и пятая … ну 280 ездил, больше не решился…
На этом лирика моих эмоций пока закончилась.
За первые четыре дня эксплуатации авто показала весь свой характер, который описан во многих статьях и отзывах…
Опишу свои впечатления:
Во-первых, экстерьер … космос! Ни одной стандартной общепринятой линии кузов. Смотрел на современные ламбы — дизайн уже не тот, сегодня все упрощено, хотя тоже довольно необычно. Диабло реально высотой по пояс (110 см), шире Ланд Крузера (ширина по краю заднего колеса 212 см! Лафет для дальних перевозок было найти проблематично, пришлось делать спецзаказ.
Интерьер особого восторга не вызывает, все довольно просто и лаконично, однако приборная панель закрывает обзорность, так что сразу начинаешь вытягивать шею, но затем привыкаешь и смотришь в перспективу. Оценив состояние салона принял решение перешить все, включая руль и торпедо в алькантару, сохраняя заводские лекала и цветовые решения (черный салон, красный стежок). Вышло сдержано и достойно без излишней броскости.";"-";"https://www.drive2.ru/r/lamborghini/diablo/1295047/"
"Бывшая — Lamborghini Hurac?n";"Куплена в 2015г. Машина в пленке. Изначально цвет — желтый. Больше никаких изменений не планируется. По крайней мере пока… ;)<3 <3 <3 <3 <3";"-";"https://www.drive2.ru/r/lamborghini/huracan/455023817257911479/"
"Бывшая — Lamborghini Hurac?n 610-4 Spyder";"Отличная Машина за все время использования ни разу не подводила,
но настали времена когда пора с ней расстаться и купить более новую модель.";"-";"https://www.drive2.ru/r/lamborghini/huracan/519515671785112495/"
